Zip.Code,Individual,Company,State.Province,City
4,2,0,WI,Madison
1801,1,0,MA,Woburn
2128,2,0,MA,Boston
7901,2,0,NJ,Summit
10021,1,0,NY,New York
10541,2,0,,
10567,6,0,NY,Cortlandt Manor
10579,16,0,NY,Putnam Valley
10598,4,0,NY,Yorktown Heights
12590,2,0,,
15216,3,0,,
18020,2,0,,
20012,3,0,DC,Washington
22031,1,0,VA,Fairfax
22206,2,0,,
23225,1,0,VA,Richmond
30008,1,0,,
30308,3,0,GA,Atlanta
32931,1,0,,
33149,2,0,,
33436,2,0,,
34110,2,0,FL,Naples
34747,3,0,FL,Celebration
37415,1,0,,
38117,2,0,TN,Memphis
43235,3,0,OH,Columbus
45277,0,3,OH,Cincinnati
46204,3,0,,
50401,2,0,,
51573,2,0,WI,Muscoda
52593,2,0,,
53014,3,0,WI,Chilton
53018,1,0,,
53032,2,0,WI,Horicon
53037,4,0,WI,Jackson
53038,2,0,,
53039,2,0,WI,Juneau
53050,2,0,WI,Mayville
53051,2,0,WI,Menomonee Falls
53066,3,0,,
53072,7,0,WI,Pewaukee
53073,2,0,,
53090,1,0,WI,West Bend
53092,2,0,WI,Mequon
53094,6,0,WI,Watertown
53115,2,0,,
53132,3,0,WI,Franklin
53140,3,0,WI,Kenosha
53147,3,0,,
53154,6,0,WI,Oak Creek
53183,2,0,,
53186,2,0,WI,Waukesha
53188,3,0,WI,Waukesha
53190,4,0,,
53202,3,0,,
53209,2,0,,
53211,2,0,,
53217,1,0,WI,Whitefish Bay
53219,3,0,,
53227,3,0,,
53228,2,0,WI,Greenfield
53232,2,0,WI,Deforest
53289,2,0,,
53391,1,0,WI,Baraboo
53456,1,0,,
53502,8,0,WI,Albany
53503,6,0,WI,Arena
53504,1,0,,
53505,2,0,WI,Avalon
53507,10,0,WI,Barneveld
53508,55,0,WI,Belleville
53511,21,0,WI,Beloit
53515,11,0,WI,Black Earth
53516,11,0,WI,Blanchardville
53517,17,0,WI,Blue Mounds
53520,15,0,WI,Brodhead
53521,10,0,WI,Brooklyn
53522,10,0,WI,Browntown
53523,57,0,WI,Cambridge
53524,2,0,WI,Cambridge
53527,74,0,WI,Cottage Grove
53528,51,0,WI,Cross Plains
53529,20,0,WI,Dane
53530,6,0,WI,Darlington
53531,41,0,WI,Deerfield
53532,142,0,WI,De Forest
53533,30,0,WI,Dodgeville
53534,39,0,WI,Edgerton
53535,2,0,WI,Edgerton
53536,23,0,WI,Evansville
53537,2,0,,
53538,32,0,WI,Fort Atkinson
53541,1,0,,
53545,35,0,WI,Janesville
53546,61,0,WI,Janesville
53547,1,0,,
53548,21,0,WI,Janesville
53549,6,0,WI,Jefferson
53551,34,0,WI,Lake Mills
53554,2,0,,
53555,45,0,WI,Lodi
53556,5,0,WI,Lone Rock
53557,2,0,,
53558,153,0,WI,McFarland
53559,24,0,WI,Marshall
53560,12,0,WI,Mazomanie
53561,12,0,WI,Merrimac
53562,311,0,WI,Madison
53563,21,0,WI,Fort Atkinson
53565,11,0,WI,Mineral Point
53566,30,0,WI,Monroe
53569,4,0,WI,"Montfort,"
53570,17,0,WI,Monticello
53571,2,0,WI,Morrisonville
53572,0,3,WI,Mount Horeb
53572,66,0,WI,Mount Horeb
53574,27,0,WI,New Glarus
53575,141,0,WI,Fitchburg
53576,7,0,,
53577,1,0,,
53578,31,0,WI,Prairie Du Sac
53579,1,0,,
53581,13,0,WI,Madison
53582,2,0,WI,Ridgeway
53583,27,0,WI,Sauk City
53586,2,0,,
53587,4,0,WI,South Wayne
53588,19,0,WI,Spring Green
53589,166,0,WI,Monona
53590,365,0,MO,Sun Prairie
53592,1,0,,
53593,0,2,WI,Madison
53593,299,0,WI,Madison
53594,15,0,WI,Waterloo
53595,2,0,,
53597,0,3,WI,Middleton
53597,147,0,WI,Middleton
53598,18,0,WI,Windsor
53603,2,0,,
53632,1,0,,
53634,2,0,,
53646,2,0,WI,Janesville
53689,2,0,,
53690,1,0,,
53701,3,0,WI,Madison
53703,0,2,WI,Madison
53703,103,0,WI,Madison
53704,329,0,WI,Madison
53705,199,0,WI,Madison
53707,2,0,,
53708,1,0,,
53711,489,0,WI,Fitchburg
53713,0,3,WI,Fitchburg
53713,73,0,WI,Fitchburg
53714,123,0,WI,Madison
53715,36,0,WI,Madison
53716,202,0,WI,Madison
53717,134,0,WI,Fitchburg
53718,169,0,WI,Madison
53719,281,0,WI,Fitchburg
53722,1,0,,
53725,2,0,WI,Madison
53726,27,0,WI,Madison
53727,2,0,,
53728,5,0,WI,Madison
53736,1,0,,
53744,2,0,,
53775,2,0,WI,Oregon
53794,0,3,WI,Madison
53803,2,0,WI,Benton
53804,3,0,WI,Bloomington
53805,5,0,WI,Boscobel
53806,2,0,,
53809,2,0,WI,Fennimore
53811,6,0,WI,Hazel Green
53813,2,0,,
53816,1,0,,
53818,13,0,WI,Platteville
53820,6,0,WI,Potosi
53827,1,0,,
53901,19,0,WI,Portage
53911,3,0,WI,Arlington
53913,31,0,WI,Baraboo
53916,12,0,WI,Beaver Dam
53920,3,0,WI,Briggsville
53923,1,0,,
53925,48,0,WI,Columbus
53930,4,0,,
53932,8,0,WI,Fall River
53940,2,0,,
53941,10,0,WI,La Valle
53948,8,0,WI,Mauston
53949,4,0,WI,Montello
53950,2,0,,
53952,6,0,WI,Oxford
53954,10,0,WI,Pardeeville
53955,23,0,WI,Poynette
53956,6,0,WI,Randolph
53959,35,0,WI,Reedsburg
53960,5,0,WI,Rio
53963,7,0,WI,Waupun
53964,5,0,,
53965,14,0,WI,Wisconsin Dells
53968,2,0,,
53998,2,0,,
54115,3,0,WI,De Pere
54313,2,0,WI,Green Bay
54501,6,0,WI,Rhinelander
54548,2,0,WI,Minocqua
54590,1,0,,
54618,4,0,WI,Camp Douglas
54634,4,0,WI,Hillsboro
54637,2,0,,
54646,2,0,,
54664,2,0,,
54703,1,0,WI,Eau Claire
54705,1,0,WI,Madison
54801,1,0,,
54937,2,0,WI,Fond Du Lac
54942,1,0,WI,Greenville
54943,2,0,,
54956,3,0,WI,Neenah
54982,2,0,,
55076,2,0,,
55104,1,0,MN,Saint Paul
55112,1,0,MN,New Brighton
55304,2,0,MN,Andover
55369,2,0,,
55407,2,0,MN,Minneapolis
55423,3,0,MN,Richfield
60093,2,0,,
60148,2,0,,
60480,1,0,IL,Willow Springs
60516,1,0,,
60586,2,0,,
60646,3,0,,
60660,2,0,,
61021,3,0,,
61089,2,0,,
63303,4,0,,
63537,2,0,WI,Cottage Grove
63705,1,0,,
63726,1,0,WI,Madison
70124,1,0,,
77406,3,0,,
77407,9,0,TX,Richmond
78758,1,0,TX,Austin
80221,1,0,,
81004,2,0,,
81631,1,0,,
85048,2,0,,
85338,2,0,,
85629,2,0,,
91942,3,0,CA,La Mesa
92118,3,0,,
94941,1,0,,
95116,1,0,,
98112,2,0,WA,Seattle
